Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
9.3,Low Fat,0.016047301,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,2.796007496681255,27
5.92,Regular,0.019278216,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,2.1421617111713798,17
17.5,Low Fat,0.016760075,Meat,141.618,Medium,Tier 1,Supermarket Type1,2.601397946455143,27
19.2,Regular,0.0,Fruits and Vegetables,182.095,,Tier 3,Grocery Store,2.280825498350305,28
8.93,Low Fat,0.0,Household,53.8614,High,Tier 3,Supermarket Type1,2.3698005642042816,39
10.395,Regular,0.0,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,2.20390950807471,17
13.65,Regular,0.012741089,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,2.074909631095591,39
,Low Fat,0.127469857,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,2.82205558712543,41
16.2,Regular,0.016687114,Frozen Foods,96.9726,,Tier 2,Supermarket Type1,2.393352824300445,24
19.2,Regular,0.09444959,Frozen Foods,187.8214,,Tier 2,Supermarket Type1,2.8782849004669138,19
11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,2.4979765247167327,27
18.5,Regular,0.045463773,Dairy,144.1102,Small,Tier 1,Supermarket Type1,2.615079496208871,29
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,2.512751415029152,27
17.6,Regular,0.047257328,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,2.608757231015508,29
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,2.5823346936107923,39
9.0,Regular,0.069088961,Breakfast,56.3614,Small,Tier 1,Supermarket Type1,2.504364213950704,29
11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,2.519141916908355,17
9.0,Regular,0.069196376,Breakfast,54.3614,Medium,Tier 1,Supermarket Type1,2.275336608929926,27
,Low Fat,0.034237682,Hard Drinks,113.2834,Medium,Tier 3,Supermarket Type3,2.632100612263452,41
13.35,Low Fat,0.10249212,Dairy,230.5352,Small,Tier 2,Supermarket Type1,2.6908248819310967,22
18.85,Regular,0.138190277,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,2.7997281001035224,39
