Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
9.5,Regular,0.035205866,Fruits and Vegetables,171.3448,Medium,Tier 1,Supermarket Type1,2386.2272,27
18.0,Low Fat,0.047473135,Household,170.5422,,Tier 2,Supermarket Type1,3103.9596,24
17.6,Regular,0.076121831,Meat,111.7202,Small,Tier 1,Supermarket Type1,1125.202,29
8.325,Low Fat,0.029845243,Fruits and Vegetables,41.6138,,Tier 2,Supermarket Type1,284.2966,24
12.85,Low Fat,0.137227848,Snack Foods,155.563,Small,Tier 1,Supermarket Type1,4224.501,29
,Regular,0.099780431,Fruits and Vegetables,225.2088,Small,Tier 1,Grocery Store,447.4176,41
,Low Fat,0.014008751,Dairy,171.3422,Small,Tier 1,Grocery Store,862.211,41
12.15,reg,0.13283066,Fruits and Vegetables,190.6872,,Tier 2,Supermarket Type1,2269.0464,19
13.85,Low Fat,0.031338558,Others,41.048,Small,Tier 1,Supermarket Type1,639.168,29
,Regular,0.056596985,Snack Foods,230.9984,Medium,Tier 3,Supermarket Type3,9267.936,41
20.0,Regular,0.100262068,Baking Goods,169.6132,,Tier 3,Grocery Store,169.1132,28
7.825,Low Fat,0.079952983,Meat,62.7826,Medium,Tier 3,Supermarket Type2,1162.4868,17
19.25,Low Fat,0.107940533,Household,35.5558,High,Tier 3,Supermarket Type1,305.6022,39
6.11,Regular,0.0,Soft Drinks,43.0086,Medium,Tier 1,Supermarket Type1,713.7376,27
16.35,Low Fat,0.029445361,Household,257.6646,Small,Tier 1,Supermarket Type1,2061.3168,29
15.75,Low Fat,0.14048631,Hard Drinks,252.7382,High,Tier 3,Supermarket Type1,3280.3966,39
,Regular,0.013529884,Fruits and Vegetables,106.2596,Medium,Tier 3,Supermarket Type3,1402.1748,41
17.7,Regular,0.041098734,Fruits and Vegetables,80.9276,Medium,Tier 3,Supermarket Type2,487.3656,17
21.25,Low Fat,0.114246019,Health and Hygiene,231.23,,Tier 2,Supermarket Type1,3029.39,19
17.25,Regular,0.047266211,Snack Foods,97.0068,Small,Tier 1,Supermarket Type1,1846.9292,29
14.5,Regular,0.063993068,Breads,260.4594,,Tier 2,Supermarket Type1,5494.8474,24
8.02,Low Fat,0.0,Household,157.7972,High,Tier 3,Supermarket Type1,1713.7692,39
12.35,Low Fat,0.026832182,Canned,57.3246,,Tier 2,Supermarket Type1,1332.2658,19
16.75,Low Fat,0.032652796,Health and Hygiene,190.8162,,Tier 2,Supermarket Type1,2886.243,24
5.11,Low Fat,0.034874689,Household,161.721,Small,Tier 1,Supermarket Type1,2446.815,29
15.1,Low Fat,0.055793586,Household,139.7496,High,Tier 3,Supermarket Type1,3952.1888,39
,Low Fat,0.134418705,Household,99.67,Medium,Tier 3,Supermarket Type3,2596.62,41
8.5,Low Fat,0.098083231,Canned,50.3324,,Tier 2,Supermarket Type1,675.1212,24
10.0,Regular,0.063121982,Frozen Foods,231.7668,High,Tier 3,Supermarket Type1,460.7336,39
16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,Small,Tier 2,Supermarket Type1,1911.5118,22
14.6,Regular,0.043133816,Fruits and Vegetables,109.7254,Medium,Tier 3,Supermarket Type2,651.1524,17
19.1,Low Fat,0.075836522,Dairy,40.2138,,Tier 3,Grocery Store,81.2276,28
14.8,Low Fat,0.019476708,Health and Hygiene,193.0794,Small,Tier 2,Supermarket Type1,3901.588,22
20.85,Low Fat,0.121227447,Snack Foods,197.5452,Small,Tier 2,Supermarket Type1,4306.3944,22
16.0,Regular,0.099188598,Frozen Foods,88.9856,High,Tier 3,Supermarket Type1,1669.8264,39
,Low Fat,0.045900448,Snack Foods,118.9124,Medium,Tier 3,Supermarket Type3,2844.2976,41
12.3,Low Fat,0.0,Baking Goods,37.2874,High,Tier 3,Supermarket Type1,705.748,39
15.7,Regular,0.11521312,Canned,112.0202,,Tier 2,Supermarket Type1,3150.5656,19
7.81,Regular,0.055226755,Canned,123.1046,Small,Tier 1,Supermarket Type1,871.5322,29
8.38,Regular,0.046960237,Baking Goods,111.857,Medium,Tier 1,Supermarket Type1,2966.139,27
14.0,Low Fat,0.028980533,Health and Hygiene,129.531,Medium,Tier 3,Supermarket Type2,2077.296,17
15.5,Regular,0.086184647,Frozen Foods,50.9692,Medium,Tier 3,Supermarket Type2,394.1536,17
8.395,Low Fat,0.072383777,Hard Drinks,251.504,,Tier 2,Supermarket Type1,7084.112,19
